MSI URLs to be Redirected (exisiting and working in MSI side),Zebra Vanity URLs (To Be Created),"NewCo Zebra URL (existing, not prod in CQ)",Added to CQ
www.motorolasolutions.com/barcodescanning,www.zebra.com/barcodescanning,us/en/products/scanners.html,
,www.zebra.com/companionscanners,us/en/products/scanners/companion-scanners.html,
www.motorola.com/cs1504,www.zebra.com/cs1504,us/en/products/scanners/companion-scanners/cs1504.html,
www.motorola.com/cs3000,www.zebra.com/cs3000,us/en/products/scanners/companion-scanners/cs3000-series.html,
www.motorolasolutions.com/cs4070,www.zebra.com/cs4070,us/en/products/scanners/companion-scanners/cs4070.html,
,www.zebra.com/fixedmountscanners,us/en/products/scanners/fixed-mount-scanners.html,
http://www.motorola.com/ds457,www.zebra.com/ds457,us/en/products/scanners/fixed-mount-scanners/ds457.html,
www.motorolasolutions.com/MSI12XX,www.zebra.com/miniscan12xx,us/en/products/scanners/fixed-mount-scanners/miniscan-12xx.html,
"
www.motorolasolutions.com//ms1200",www.zebra.com/miniscan12xx,us/en/products/scanners/fixed-mount-scanners/miniscan-12xx.html,
"www.motorolasolutions.com/ms954
",www.zebra.com/miniscan954,us/en/products/scanners/fixed-mount-scanners/miniscan-954.html,
,www.zebra.com/generalbarcodescanners,us/en/products/scanners/general-purpose-scanners.html,
,www.zebra.com/handheldscanners,us/en/products/scanners/general-purpose-scanners/handheld.html,
www.motorola.com/ds6707,www.zebra.com/ds6707,us/en/products/scanners/general-purpose-scanners/handheld.html,
www.motorola.com/ds6878,www.zebra.com/ds6878,us/en/products/scanners/general-purpose-scanners/handheld.html,
www.motorolasolutions.com/ds4308,www.zebra.com/ds4308,us/en/products/scanners/general-purpose-scanners/handheld/ds4308.html,
www.motorolasolutions.com/ds4800,www.zebra.com/ds4800,us/en/products/scanners/general-purpose-scanners/handheld/ds4800.html,
www.motorolasolutions.com/ds6700,www.zebra.com/ds6700,us/en/products/scanners/general-purpose-scanners/handheld/ds6700.html,
www.motorolasolutions.com/ds6707dp,www.zebra.com/ds6707dp,us/en/products/scanners/general-purpose-scanners/handheld/ds6707-dp.html,
www.motorolasolutions.com/ds6707hd,www.zebra.com/ds6707hd,us/en/products/scanners/general-purpose-scanners/handheld/ds6707-hd.html,
www.motorolasolutions.com/ds6708dl,www.zebra.com/ds6708dl,us/en/products/scanners/general-purpose-scanners/handheld/ds6708-dl.html,
www.motorolasolutions.com/ds6878dl,www.zebra.com/ds6878dl,us/en/products/scanners/general-purpose-scanners/handheld/ds6878-dl.html,
www.motorolasolutions.com/ds6878sr,www.zebra.com/ds6878sr,us/en/products/scanners/general-purpose-scanners/handheld/ds6878-sr.html,
www.motorolasolutions.com/li2208,www.zebra.com/li2208,us/en/products/scanners/general-purpose-scanners/handheld/li2208.html,
motorolasolutions.com/li4278,www.zebra.com/li4278,us/en/products/scanners/general-purpose-scanners/handheld/li4278.html,
www.motorolasolutions.com/ls1203hd,www.zebra.com/ls1203hd,us/en/products/scanners/general-purpose-scanners/handheld/ls1203-hd.html,
www.symbol.com/ls1203,www.zebra.com/ls1203,us/en/products/scanners/general-purpose-scanners/handheld/ls1203.html,
motorolasolutions.com/ls2208,www.zebra.com/ls2208,us/en/products/scanners/general-purpose-scanners/handheld/ls2208.html,
,www.zebra.com/handsfreescanners,us/en/products/scanners/general-purpose-scanners/hands-free-on-counter.html,
www.motorolasolutions.com/ds4308P,www.zebra.com/ds4308p,us/en/products/scanners/general-purpose-scanners/hands-free-on-counter/ds4308p.html,
www.motorolasolutions.com/ds9208,www.zebra.com/ds9208,us/en/products/scanners/general-purpose-scanners/hands-free-on-counter/ds9208.html,
www.motorolasolutions.com/ds9808r,www.zebra.com/ds9808r,us/en/products/scanners/general-purpose-scanners/hands-free-on-counter/ds9808-r.html,
"www.motorola.com/ds9808
www.motorolasolutions.com/ds9808",www.zebra.com/ds9808,us/en/products/scanners/general-purpose-scanners/hands-free-on-counter/ds9808.html,
,www.zebra.com/incounterscanners,us/en/products/scanners/general-purpose-scanners/in-counter.html,
www.motorolasolutions.com/ls7808,www.zebra.com/ls7808,us/en/products/scanners/general-purpose-scanners/in-counter/ls7808.html,
,www.zebra.com/healthcarescanners,us/en/products/scanners/healthcare-scanners.html,
"www.motorolasolutions.com/cs4070hc 
www.motorolasolutions.com/cs4070h",www.zebra.com/cs4070hc,us/en/products/scanners/healthcare-scanners/cs4070-hc.html,
,www.zebra.com/ds4308hc,us/en/products/scanners/healthcare-scanners/ds4308-hc.html,
www.motorola.com/ds6878hc,www.zebra.com/ds6878hc,us/en/products/scanners/healthcare-scanners/ds6878-hc.html,
,www.zebra.com/multiplanescanners,us/en/products/scanners/multi-plane-scanners.html,3/19 sj
www.motorolasolutions.com/mp6000,www.zebra.com/mp6000,us/en/products/scanners/multi-plane-scanners/mp6000.html,3/19 sj
www.motorolasolutions.com/barcodescanning/rugged ,www.zebra.com/ruggedscanners ,us/en/products/scanners/rugged-scanners.html,3/19 sj
"www.motorolasolutions.com/ds3500er
",www.zebra.com/ds3500er,us/en/products/scanners/rugged-scanners/ds3500-er.html,3/19 sj
"www.motorolasolutions.com/ds3508
",www.zebra.com/ds3508,us/en/products/scanners/rugged-scanners/ds3508.html,3/19 sj
www.motorola.com/ds3578,www.zebra.com/ds3578,us/en/products/scanners/rugged-scanners/ds3578.html,3/19 sj
www.motorolasolutions.com/ds3578,www.zebra.com/ds3578,us/en/products/scanners/rugged-scanners/ds3578.html,3/19 sj
"www.symbol.com/ls3008
www.motorolasolutions.com/ls3008",www.zebra.com/ls3008,us/en/products/scanners/rugged-scanners/ls3008.html,
www.motorolasolutions.com/ls3408er,www.zebra.com/ls3408er,us/en/products/scanners/rugged-scanners/ls3008.html,
www.motorolasolutions.com/ls3408fz,www.zebra.com/ls3408fz,us/en/products/scanners/rugged-scanners/ls3408-fz.html,
www.motorolasolutions.com/ls3578er,www.zebra.com/ls3578er,us/en/products/scanners/rugged-scanners/ls3578-er.html,
www.motorolasolutions.com/ls3578fz,www.zebra.com/ls3578fz,us/en/products/scanners/rugged-scanners/ls3578-fz.html,
